1;0;0.67;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
1;1;0;0;1;1;0;1;1;0;0;0;0;1;1;1;0;1;0;0
1;1;0;1;0;0;1;0;0;1;1;1;0;1;1;0;1;0;0.4;0
1;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;1;1;0.6;0
1;1;0;1;0;1;0;1;1;1;0;1;1;1;0;1;1;0;0.8;0
0;0;0.22;0;1;1;1;1;0;1;0;1;1;0;0;0;1;0;0.6;0
1;1;0.33;1;1;0;1;0;0;0;0;1;0;1;0;1;0;1;0.4;0
1;0;0.33;0;1;1;0;0;1;1;0;0;1;0;1;1;0;0;0.6;0
1;1;0.33;0;0;0;1;1;0;0;1;1;1;1;1;0;1;0;0.8;0
1;1;0.44;1;0;1;0;0;1;1;1;1;0;1;0;1;0;1;0;0
1;1;0.44;1;0;0;1;1;0;0;1;0;1;1;0;0;1;0;0.2;0
1;1;0.44;0;1;1;0;0;1;1;1;1;1;0;1;0;1;0;0.4;0
1;1;0.44;1;1;0;1;1;0;0;0;0;0;1;0;0;1;1;0.6;0
1;0;0.44;0;1;0;0;1;0;1;0;0;0;0;1;1;1;1;0.8;0
0;1;0.44;0;0;0;0;0;0;1;0;1;0;1;1;1;0;0;0.6;0
0;1;0.44;1;1;1;0;1;0;0;0;0;1;0;0;0;0;1;0.8;0
0;1;0.44;1;1;0;1;0;1;1;1;0;0;0;1;1;1;1;1;0
0;0;0.56;0;1;0;1;0;1;1;1;0;1;1;1;0;1;1;0.2;0
0;0;0.56;1;1;1;1;0;1;0;0;1;0;1;1;0;1;0;0.4;0
1;0;0.67;0;1;1;0;1;0;0;0;1;1;0;0;1;0;0;1;0
0;1;0.67;1;1;0;1;0;1;0;1;0;0;1;0;1;1;0;0;0
0;1;0.67;0;0;0;0;1;0;1;0;1;1;0;1;0;1;1;0.2;0
0;1;0.67;0;1;1;1;0;0;1;1;0;1;1;1;0;1;1;0.4;0
0;1;0.67;0;0;1;1;1;1;1;1;1;1;1;0;1;0;0;1;0
1;0;0.78;1;0;0;0;1;0;0;1;1;0;1;0;0;0;1;0;0
1;1;0.78;0;1;1;0;1;0;1;1;0;0;0;1;0;1;0;0.2;0
1;1;0.78;0;0;1;1;1;0;1;0;0;0;0;1;1;0;0;1;0
0;0;0.78;1;0;1;1;0;1;0;1;0;1;1;1;0;1;1;0;0
0;1;0.78;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0.2;0
1;0;0.89;1;0;0;1;1;0;0;1;1;1;1;1;0;1;0;0.2;0
1;1;0.89;1;1;1;1;1;0;1;1;0;0;1;0;0;0;1;0.4;0
0;0;0.89;0;1;1;0;1;1;1;0;0;0;0;0;1;0;0;0.2;0
0;1;0.89;0;0;1;1;0;0;0;1;0;1;1;1;1;1;1;0.4;0
0;0;0.89;1;1;0;0;1;0;0;1;0;0;1;1;1;0;0;0.6;0
0;1;0.89;1;0;0;1;0;1;1;0;1;1;0;1;0;1;0;0.8;0
0;0;0.89;0;1;1;0;1;1;1;1;0;0;1;0;0;0;1;1;0
1;1;1;0;1;0;0;0;0;0;1;0;0;1;0;1;1;1;0.8;0
1;0;1;1;0;0;0;0;0;0;1;0;1;0;1;0;1;1;1;0
0;0;1;0;1;1;1;1;1;1;0;1;1;0;0;1;0;0;0;0
0;1;1;0;0;1;0;0;0;0;1;0;1;1;1;0;1;1;0.2;0
1;1;0.89;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1
1;1;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1
1;1;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1
0;0;0;0;0;1;1;1;0;0;0;0;1;1;1;0;1;1;0.8;1
1;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1
1;1;0.44;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1
1;1;0.67;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1
1;1;0.78;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1
